地区,地名,センター（center.csvを使わない場合は空白化）,燃えるごみ,燃えないごみ,資源ごみ,プラ
根上地区,赤井町,,月 木,木1,日1,火2 火4
根上地区,五間堂町,,月 木,木1,日1,火2 火4
根上地区,中庄町,,月 木,木1,日1,火2 火4
根上地区,西任田町,,月 木,木1,日1,火2 火4
根上地区,福岡町,,月 木,木1,日1,火2 火4
根上地区,西二口町,,月 木,金1,日1,火2 火4
根上地区,中ノ江町,,月 木,金1,日1,火2 火4
根上地区,大成町,,月 木,木2,土2,火2 火4
根上地区,福島町,,火 金,金2,土2,水2 水4
根上地区,吉原町,,火 金,金2,日1,水2 水4
根上地区,吉原釜屋町,,火 金,土3,日1,水2 水4
根上地区,大浜町,,火 金,木3,土2,水2 水4
根上地区,中町,,火 金,金3,土2,水2 水4
根上地区,高坂,,水 土,金1,土2,月2 月4
根上地区,根上町,,水 土,金1,土2,月2 月4
根上地区,下ノ江町,,水 土,土1,土2,月2 月4
根上地区,浜開発町,,水 土,土1,日1,月2 月4
根上地区,浜町,,水 土,金3,日1,月2 月4
根上地区,道林町,,水 土,土3,日1,月2 月4
根上地区,山口町,,水 土,土3,日1,月2 月4
寺井地区,横町,,火 金,土4,木1,水1 水3
寺井地区,駅前,,火 金,土4,木1,水1 水3
寺井地区,山道,,月 木,水4,木1,水1 水3
寺井地区,中町,,月 木,水4,木1,水1 水3
寺井地区,北町,,月 木,水4,木1,水1 水3
寺井地区,十軒町,,月 木,水4,木1,水1 水3
寺井地区,旭町,,月 木,土2,木1,水1 水3
寺井地区,九谷町,,月 木,土2,木1,水1 水3
寺井地区,緑町,,月 木,土2,木1,水1 水3
寺井地区,小長野町,,火 金,水1,木3,水2 水4
寺井地区,大長野町,,火 金,水1,木3,水2 水4
寺井地区,小杉町,,火 金,水1,木3,水2 水4
寺井地区,末信町,,火 金,土1,木3,水2 水4
寺井地区,牛島町,,火 金,土1,木3,水2 水4
寺井地区,佐野町,,火 金,水2,木4,水1 水3
寺井地区,泉台町,,火 金,水2,木4,水1 水3
寺井地区,湯谷町,,火 金,土3,木4,水1 水3
寺井地区,石子町,,火 金,土3,木4,水1 水3
寺井地区,秋常町,,月 木,水3,木2,水2 水4
寺井地区,新保町,,月 木,水3,木2,水2 水4
寺井地区,粟生町,,月 木,水3,木2,水2 水4
寺井地区,末寺町,,月 木,土4,木2,水2 水4
寺井地区,三道山町,,月 木,土4,木2,水2 水4
寺井地区,吉光町,,月 木,土4,木2,水2 水4
寺井地区,東任田町,,月 木,土4,木2,水2 水4
辰口地区,和佐谷町,,月 木,水2,木2,木1 木3
辰口地区,岩本町,,月 木,水2,木2,木1 木3
辰口地区,灯台笹町,,月 木,水2,木2,木1 木3
辰口地区,大口町,,月 木,水2,木2,木1 木3
辰口地区,旭台(職員宿舎),,月 木,水2,木2,木1 木3
辰口地区,宮竹町,,月 木,水2,木2,木1 木3
辰口地区,三ツ口町,,月 木,水2,木2,木1 木3
辰口地区,長滝町,,月 木,水2,木2,木1 木3
辰口地区,莇生町,,月 木,水2,木2,木1 木3
辰口地区,岩内町,,月 木,水2,木2,木1 木3
辰口地区,火釜町,,火 金,水4,木3,木2 木4
辰口地区,来丸町,,火 金,水4,木3,木2 木4
辰口地区,山田町,,火 金,水4,木3,木2 木4
辰口地区,三ツ屋町,,火 金,水4,木3,木2 木4
辰口地区,倉重町,,火 金,水4,木3,木2 木4
辰口地区,出口町,,火 金,水4,木3,木2 木4
辰口地区,辰口町,,火 金,水4,木3,木2 木4
辰口地区,湯屋町,,火 金,水4,木3,木2 木4
辰口地区,上徳山町,,火 金,水4,木3,木2 木4
辰口地区,下徳山町,,火 金,水4,木3,木2 木4
辰口地区,上開発町,,火 金,水1,木3,木2 木4
辰口地区,下開発町,,火 金,水1,木3,木2 木4
辰口地区,徳久町,,火 金,水1,木3,木2 木4
辰口地区,荒屋町,,火 金,水1,木3,木2 木4
辰口地区,高座町,,火 金,水1,木3,木2 木4
辰口地区,北市町,,火 金,水1,木3,木2 木4
辰口地区,上清水町,,火 金,水1,木3,木2 木4
辰口地区,下清水町,,火 金,水1,木3,木2 木4
辰口地区,和気町,,火 金,水3,木1,木1 木3
辰口地区,寺畠町,,火 金,水3,木1,木1 木3
辰口地区,舘町,,火 金,水3,木1,木1 木3
辰口地区,金剛寺町,,火 金,水3,木1,木1 木3
辰口地区,坪野町,,火 金,水3,木1,木1 木3
辰口地区,鍋谷町,,火 金,水3,木1,木1 木3
辰口地区,仏大寺町,,火 金,水3,木1,木1 木3
辰口地区,和光台,,火 金,水3,木1,木1 木3
辰口地区,緑が丘,,水 土,金4,木1,木2 木4
辰口地区,松が岡,,水 土,金2,木1,木2 木4
辰口地区,松が岡5丁目133の3～21、177～,,火 金,水3,木1,木2 木4
